Año,Trimestre,Provincia,Accesos,Velocidad
2020,4,CHACO,139091,31.20830997692158
2020,4,CHUBUT,130574,7.442173817145833
2020,4,CORDOBA,902701,35.06584810474343
2020,4,CORRIENTES,125659,24.966137164866822
2020,4,ENTRE RIOS,247381,23.093646500741773
2020,4,FORMOSA,50206,19.42500135441979
2020,4,JUJUY,105851,25.00953547911687
2020,4,LA PAMPA,96895,9.983570638319831
2020,4,LA RIOJA,52778,12.992530183030807
2020,4,MENDOZA,215453,11.376961959220804
2020,4,MISIONES,147161,24.228731933052913
2020,4,NEUQUEN,133135,33.10142794907425
2020,4,RIO NEGRO,141210,18.920893024573328
2020,4,SALTA,187390,24.809437280537914
2020,4,SAN JUAN,72596,6.373844867485812
2020,4,SAN LUIS,119435,15.020859396324362
2020,4,SANTA CRUZ,40674,7.713971111766732
2020,4,SANTA FE,820813,26.90910425273479
2020,4,SANTIAGO DEL ESTERO,106669,11.115803654295062
2020,4,TIERRA DEL FUEGO,39614,7.49462467814409
2020,4,TUCUMAN,231089,36.40546595467547
2021,1,BUENOS AIRES,4059998,51.59337403392809
2021,1,CABA,1379673,69.54408897543114
2021,1,CATAMARCA,51968,38.749600407943355
2021,1,CHACO,139770,32.29516281748587
2021,1,CHUBUT,132340,7.588118724497506
2021,1,CORDOBA,910881,36.14266205355035
2021,1,CORRIENTES,126625,25.406996548864758
2021,1,ENTRE RIOS,251963,23.07749926378079
2021,1,FORMOSA,50686,20.58503314524721
2021,1,JUJUY,110456,26.649721083508368
2021,1,LA PAMPA,97105,10.826608320889758
2021,1,LA RIOJA,52628,13.159026715816674
2021,1,MENDOZA,218923,13.001032458901076
2021,1,MISIONES,149387,24.149515018040393
2021,1,NEUQUEN,133235,33.42265274139678
2021,1,RIO NEGRO,141168,19.177470078204692
2021,1,SALTA,187574,26.746307334705236
2021,1,SAN JUAN,78267,6.862239641228104
2021,1,SAN LUIS,119154,15.234211910636656
2021,1,SANTA CRUZ,46065,7.89677332030826
2021,1,SANTA FE,826127,27.70647535911549
2021,1,SANTIAGO DEL ESTERO,111641,11.409963472201072
2021,1,TIERRA DEL FUEGO,40422,6.523626688436989
2021,1,TUCUMAN,231912,37.92025044844596
2021,2,BUENOS AIRES,4132347,53.63081198940941
2021,2,CABA,1400355,74.14809880851641
